City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
137,Santiago Del Estero,AR,-27.7951,-64.2615,71.28,56,95,6.71,overcast clouds
138,Nanortalik,GL,60.1432,-45.2371,35.56,99,100,2.08,overcast clouds
139,Christchurch,NZ,-43.5333,172.6333,62.6,59,100,17.27,overcast clouds
140,Navahrudak,BY,53.6,25.8333,31.06,94,98,5.14,overcast clouds
141,Olga,RU,43.7444,135.2892,48.47,71,100,6.31,overcast clouds
142,Dikson,RU,73.5069,80.5464,-10.8,81,93,3.22,overcast clouds
143,Sierpc,PL,52.8568,19.6691,36.14,90,100,8.86,overcast clouds
144,Sulangan,PH,11.1373,123.7228,82.71,69,6,9.84,clear sky
145,Daru,PG,-9.0763,143.2092,83.46,80,99,8.46,overcast clouds
146,Boa Vista,BR,2.8197,-60.6733,80.6,65,40,9.22,scattered clouds
147,Carnarvon,AU,-24.8667,113.6333,86.0,70,51,16.11,broken clouds
148,Tazovskiy,RU,67.4667,78.7,13.82,93,100,11.65,overcast clouds
149,Mitsamiouli,KM,-11.3847,43.2844,82.29,75,55,9.71,broken clouds
150,Pevek,RU,69.7008,170.3133,-4.56,87,13,3.53,few clouds
151,Norman Wells,CA,65.282,-126.8329,8.6,56,75,6.91,broken clouds
152,Maracacume,BR,-2.0428,-45.9592,72.39,98,73,1.3,broken clouds
153,Klaksvik,FO,62.2266,-6.589,42.8,93,90,13.8,overcast clouds
154,Lagoa,PT,39.05,-27.9833,60.24,86,100,31.03,overcast clouds
155,Asaba,NG,6.2006,6.7338,77.65,85,90,3.56,overcast clouds
156,Valparaiso,CL,-33.0393,-71.6273,53.6,100,90,2.3,fog
157,San Patricio,US,28.017,-97.5169,62.6,63,1,5.75,clear sky
158,Mahajanga,MG,-15.7167,46.3167,69.8,88,20,3.44,few clouds
159,Magistralnyy,RU,56.1725,107.4458,35.8,72,100,12.15,light snow
160,Le Port,RE,-20.9373,55.2919,77.0,78,75,12.66,broken clouds
161,Sikasso,ML,10.9167,-7.0,76.28,13,13,4.0,few clouds
162,Tecoanapa,MX,16.5167,-98.75,79.56,71,2,2.06,clear sky
163,Tuktoyaktuk,CA,69.4541,-133.0374,-11.2,70,75,4.61,broken clouds
164,Terrace,CA,54.5163,-128.6035,35.6,93,90,9.22,light snow
165,Shirokiy,RU,49.758,129.523,33.69,27,56,25.81,broken clouds
166,Vanimo,PG,-2.6741,141.3028,79.05,87,100,7.2,overcast clouds
167,La Ciotat,FR,43.1748,5.6045,55.99,74,1,5.99,clear sky
168,Santander,ES,43.4647,-3.8044,55.99,92,96,5.99,overcast clouds
169,Souillac,MU,-20.5167,57.5167,78.8,89,40,10.36,light rain
170,Jingdezhen,CN,29.2947,117.2079,64.06,85,99,5.88,overcast clouds
171,Vao,NC,-22.6667,167.4833,74.77,89,100,27.67,light rain
172,Antofagasta,CL,-23.65,-70.4,60.8,88,0,6.91,clear sky
173,Katsuura,JP,35.1333,140.3,69.01,55,75,5.75,broken clouds
